Flat profile of libsolarus.so.1 (LD_PROFILE, symbolized by sprof_parse.py; glibc sprof broken by dlmopen assertion)
total samples: 6866  rate: 100 Hz  => 68.66 s of libsolarus self-time
text range: 0x0..0x2e1000  bins: 754688 x 4 B  unmapped samples: 15 (0.22%)
CAVEATS: (1) the "_init" bucket is really the .plt region (0xc6d28..0xd1ee8 follows _init with no
covering symbol) = PLT stubs + LD_PROFILE's forced-lazy audit trampoline on every cross-DSO call —
mostly profiling-mode overhead, discount it. (2) samples cover ALL threads (SIGPROF is process-wide):
the lua-console stdin thread busy-polls MainLoop::is_exiting() (173M arc calls over the run) and owns
ranks 2-3. POSSIBLE REAL FINDING, not just an artifact: the daemon launches the engine with stdin from
/dev/null, so getline() hits EOF instantly and this thread likely spins a whole A9 core in SHIP runs too
(competing with the core-1 audio thread). Cheap fix candidate: launch with -lua-console=no.

  %   cumulative   self              self
 time   seconds   seconds    calls  name
  0.06      64.20      0.04        -  Solarus::MisterBlitterRenderer::resident_update(unsigned int, Solarus::Rectangle const&, int, int, Solarus::Rectangle const*)
  0.06      64.24      0.04        -  Solarus::SDLSurfaceImpl::get_width() const [clone .localalias]
  0.06      64.28      0.04        -  Solarus::Sprite::get_frame_delay() const
  0.06      64.32      0.04        -  Solarus::LuaContext::get()
  0.06      64.36      0.04        -  Solarus::LuaContext::check_userdata(lua_State*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.06      64.40      0.04        -  Solarus::LuaTools::create_ref(lua_State*)
  0.06      64.44      0.04        -  Solarus::LuaContext::movement_on_position_changed(Solarus::Movement&, Solarus::Point const&)
  0.06      64.48      0.04        -  Solarus::Movement::test_collision_with_obstacles(int, int) const
  0.06      64.52      0.04        -  Solarus::PathMovement::update()
  0.04      64.55      0.03        -  Solarus::Music::update()
  0.04      64.58      0.03        -  void std::vector<char, std::allocator<char> >::_M_range_insert<char*>(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, char*, char*, std::forward_iterator_tag) [clone .isra.0]
  0.04      64.61      0.03        -  Solarus::Sound::decode_file(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.04      64.64      0.03        -  Solarus::Equipment::update()
  0.04      64.67      0.03        -  Solarus::EquipmentItem::get_lua_type_name[abi:cxx11]() const
  0.04      64.70      0.03        -  Solarus::EquipmentItem::get_lua_context()
  0.04      64.73      0.03        -  Solarus::EquipmentItem::update()
  0.04      64.76      0.03        -  Solarus::Game::get_savegame()
  0.04      64.79      0.03        -  Solarus::Game::update_tilesets()
  0.04      64.82      0.03        -  Solarus::Game::is_suspended() const
  0.04      64.85      0.03        -  Solarus::MainLoop::run()
  0.04      64.88      0.03        -  Solarus::Timer::update()
  0.04      64.91      0.03        -  Solarus::Enemy::is_immobilized() const
  0.04      64.94      0.03        -  (anonymous namespace)::destructible_is_idle(Solarus::Destructible*)
  0.04      64.97      0.03        -  std::map<int, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > > > >::operator[](int const&)
  0.04      65.00      0.03        -  Solarus::Entity::is_visible() const
  0.04      65.03      0.03        -  Solarus::Entity::test_collision_rectangle(Solarus::Entity const&) const
  0.04      65.06      0.03        -  Solarus::Entity::get_state() const
